id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z
6,0.337582,-0.0993593,8.83101,0.0131965,0.0352408,-0.0616795,0.061379,0.192713,-0.315033
7,0.415394,0.00837971,8.55687,0.00500273,0.0402369,-0.0592813,0.0616655,0.193731,-0.316714
8,0.318429,-0.274136,8.77475,-0.032302,0.0484307,-0.0454253,0.0610081,0.195045,-0.318051
9,0.380678,-0.122104,8.54011,0.0177929,0.0319766,-0.0333678,0.0607064,0.196182,-0.319073
10,0.45011,-0.0945709,8.38449,0.0343136,-0.0000654869,-0.0376312,0.0616166,0.19657,-0.319998
11,0.529118,-0.227449,8.7101,0.0275188,-0.0165862,-0.0377645,0.0624037,0.1961,-0.321009
12,0.488417,-0.140061,8.7939,-0.0197783,0.00586331,-0.0494222,0.0625186,0.196012,-0.322273
13,0.520739,-0.319626,8.5856,0.00000656396,-0.00606089,-0.0434268,0.0621165,0.196069,-0.32359
14,0.39624,-0.344765,8.53892,0.0534989,-0.00339627,-0.0346335,0.0631877,0.195803,-0.324719
15,0.36751,-0.254982,8.78193,0.0275188,-0.00239703,-0.0267063,0.0647034,0.19589,-0.325522
16,0.497994,-0.229843,8.61912,0.0091329,-0.0185846,-0.00692146,0.0649604,0.19558,-0.325948
17,0.513556,-0.32202,8.62391,-0.0143158,-0.00546135,-0.00232499,0.0651485,0.19515,-0.325985
18,0.56144,-0.453701,8.47427,-0.00532268,0.018387,-0.00765423,0.0646532,0.195385,-0.326145
19,0.496797,-0.543483,8.45033,0.0338473,0.0169215,-0.0175133,0.0652563,0.195953,-0.32646
20,0.386663,-0.586579,8.84178,0.0044698,0.0032653,-0.0209107,0.0656412,0.196287,-0.327053
21,0.260968,-0.453701,8.99501,0.0133963,-0.00832582,-0.0222431,0.0655994,0.196043,-0.327578
22,0.158017,-0.657208,8.91121,0.0746826,-0.0100578,-0.0282385,0.0670331,0.195728,-0.328359
23,0.251391,-0.867898,8.45631,0.0794123,-0.00932505,-0.0301703,0.0693302,0.195613,-0.329175
24,-0.702698,-2.44328,8.07325,0.0888051,-0.00486181,0.054165,0.0709218,0.195411,-0.327571
25,-0.0430956,-1.00676,9.01297,-0.00165882,0.0131244,-0.000326518,0.0712248,0.1956,-0.327894
26,-0.0191536,-0.676362,9.16021,0.0138626,0.0273801,0.0131964,0.0712706,0.196206,-0.327593
27,-0.00119711,-0.815225,8.98663,0.110655,0.0213181,0.0179261,0.0731433,0.196902,-0.327182
28,-0.0023942,-0.978031,8.67658,0.124844,0.0203855,0.0308496,0.0767884,0.197478,-0.3264
29,0.190339,-1.20428,8.18577,0.0562967,0.00959377,0.0369116,0.0792476,0.197896,-0.325483
30,0.141258,-1.19949,8.18816,0.022123,-0.0102577,0.0384437,0.0799873,0.198107,-0.324344
31,0.203507,-0.963666,8.3378,-0.0208441,-0.0237806,0.0215234,0.0800949,0.197482,-0.323579
32,0.124498,-1.30125,8.35935,-0.0163143,-0.0295096,0.0391099,0.0797071,0.196881,-0.322754
33,0.0658405,-1.31801,8.36893,-0.0178464,-0.0674805,0.0756819,0.0792822,0.195499,-0.321218
34,0.147243,-1.0307,8.87889,-0.0465577,-0.0641497,0.106258,0.0780565,0.193511,-0.31866
35,0.280121,-1.01873,9.0836,-0.00399037,-0.0472959,0.113853,0.0773098,0.192129,-0.315556
36,0.214281,-0.855927,8.64187,0.0335142,-0.0465632,0.126709,0.0779388,0.190896,-0.31243
37,0.228646,-0.958878,8.72087,-0.00352407,-0.0762071,0.143763,0.0782213,0.189105,-0.30871
38,0.253785,-0.770933,8.90044,-0.0346335,-0.0937936,0.150758,0.0772744,0.186408,-0.304371
39,0.380678,-0.281319,8.9172,-0.00305776,-0.047629,0.116184,0.0767916,0.18466,-0.300778
40,0.251391,-0.422576,8.9172,-0.0590149,-0.0489613,0.0984644,0.0761629,0.183522,-0.298187
41,-0.0885854,-0.541089,8.97227,-0.114439,-0.0141214,0.110189,0.0736931,0.182485,-0.295342
42,-0.0993593,-0.63566,9.51575,-0.189981,0.0125249,0.14383,0.0692852,0.182828,-0.291711
43,0.1652,-0.448913,9.2488,-0.0808648,-0.00699351,0.0989973,0.065848,0.18301,-0.289672
44,0.274136,-0.0227449,9.37329,-0.0145156,-0.0283771,0.14776,0.0653381,0.182517,-0.286003
45,0.752976,0.685939,9.89882,-0.128362,-0.0836014,0.0771474,0.0635386,0.180819,-0.283477
46,0.717063,0.610521,9.73243,-0.116571,-0.0604192,0.149892,0.0595007,0.178759,-0.279663
47,0.543483,0.138864,8.69095,0.0672217,-0.0173189,0.127642,0.0596411,0.178438,-0.275887
48,0.658405,0.171185,8.55089,0.115718,-0.0560892,0.0988641,0.06242,0.177158,-0.272843
49,1.12408,-0.586579,8.57962,0.0237217,-0.0878648,0.183066,0.064333,0.175261,-0.269221
50,0.658405,0.0299275,8.81186,-0.0536856,-0.0898633,0.117983,0.0634806,0.172397,-0.265463
51,1.01873,-0.329203,8.52575,-0.0540853,-0.0387025,0.101062,0.061907,0.170756,-0.262604
52,0.719457,-0.369904,8.32224,-0.0224429,-0.00133118,0.0812109,0.0610657,0.170401,-0.260169
53,0.648829,-0.281319,8.53054,-0.0224429,0.00313206,0.113053,0.0606267,0.170269,-0.257669
54,0.684741,-0.122104,8.99022,-0.0540187,-0.0104575,0.175872,0.0595267,0.170213,-0.253532
55,0.666785,1.34434,9.42597,0.0952002,0.00493069,0.0674215,0.0595597,0.170003,-0.248698
56,1.16238,0.641646,9.10873,0.265203,0.041436,0.119848,0.0650628,0.170722,-0.245597
57,0.970849,0.226252,8.60835,0.20465,0.0686818,0.0766811,0.0722197,0.172359,-0.243196
58,0.861912,-0.294487,8.04212,0.156287,0.0750769,0.0742829,0.0761386,0.174562,-0.241139
59,0.976834,0.123301,7.57525,0.176471,0.0531603,0.0424407,0.0809566,0.176165,-0.239569
60,0.995988,-0.657208,8.01219,0.126643,0.0239161,0.0741497,0.0853849,0.177276,-0.238287
61,0.818817,-0.0849941,8.04691,0.0870731,-0.0197837,0.0351796,0.088336,0.177071,-0.236997
62,0.916979,-0.059855,8.03853,0.0424407,-0.0402347,0.0163274,0.0901303,0.176231,-0.236093
63,0.653617,-0.374692,8.69454,-0.0285715,-0.00632735,-0.041828,0.0897043,0.175475,-0.236815
64,0.73502,-0.101754,8.47427,0.0407753,0.0375057,-0.0760018,0.0904615,0.176097,-0.238348
65,0.656011,-0.409408,8.76517,0.00140549,0.0554253,-0.0915233,0.0912922,0.177663,-0.240796
66,0.758962,-0.427365,9.06085,-0.0560172,0.0296451,-0.11284,0.090001,0.17866,-0.243657
67,0.860715,-0.28491,8.76637,-0.0548847,0.0243824,-0.132692,0.0884958,0.179164,-0.246996
68,0.699107,-0.707486,8.87051,-0.0672086,0.0564911,-0.119302,0.0869513,0.180342,-0.250579
69,0.62728,-0.440533,9.02973,-0.0436266,0.0660172,-0.0998502,0.0852008,0.182338,-0.253514
70,0.828393,0.059855,8.92439,-0.0250409,0.0487637,-0.0953203,0.0845903,0.183527,-0.255888
71,0.825999,-0.298078,9.10275,-0.158205,0.0796733,-0.0393633,0.0827162,0.1856,-0.258506
72,0.741005,-0.0155623,9.25478,-0.293036,0.176466,-0.0708058,0.0760247,0.189311,-0.260215
73,0.493205,-0.0107739,10.0066,-0.388096,0.26653,-0.0841289,0.0665715,0.195664,-0.261979
74,0.0442927,0.328005,9.4116,-0.345196,0.172003,-0.141685,0.0555278,0.201766,-0.26441
75,0.0203507,1.13844,10.3046,0.0509009,0.00899423,-0.222156,0.0532037,0.203915,-0.272317
76,0.243011,1.68432,10.1969,0.150225,-0.0832683,-0.128695,0.0569083,0.202213,-0.275392
77,-0.0634463,-0.323217,9.29668,0.0963993,-0.0206497,-0.102248,0.0597557,0.200897,-0.278513
78,0.0311246,-0.19393,7.57046,0.119049,0.000667285,-0.0820639,0.0625665,0.200828,-0.280892
79,-0.0215478,0,7.31548,0.0703526,-0.0126558,-0.0502216,0.0653809,0.200773,-0.282957
80,0.0945709,0.0287304,7.98227,-0.100516,-0.0429659,0.0600938,0.0643939,0.199865,-0.28142
81,-0.00718261,0.345962,8.38688,-0.196842,-0.0544904,-0.0599475,0.0595561,0.19864,-0.281773
82,-0.0335188,0.599747,8.76876,-0.152143,-0.0804705,-0.100317,0.0545781,0.196716,-0.283893
83,-0.120907,0.858321,9.1638,-0.0789329,-0.10665,-0.153609,0.0513938,0.194167,-0.287429
84,-0.244209,0.44173,8.89685,0.0430402,-0.109515,-0.150012,0.0509787,0.191271,-0.291746
85,-0.328005,0.0502782,8.12592,0.111921,-0.129966,-0.113307,0.0535144,0.187889,-0.295266
86,-0.00957681,-0.269348,8.30428,0.0955333,-0.113578,-0.0748027,0.0562757,0.184757,-0.297621
87,0.177171,-0.0742202,8.13071,0.146694,-0.0854667,-0.0506879,0.0595127,0.18199,-0.29919
88,0.383072,-0.278924,8.41681,0.0678878,-0.0530915,0.00180518,0.0628244,0.180263,-0.299739
89,0.20231,-0.221464,8.67658,-0.0145156,-0.0118565,-0.0293709,0.0633054,0.179859,-0.300224
90,0.287304,-0.219069,8.28753,0.0171934,-0.0130555,-0.0333012,0.0625573,0.179418,-0.301028
91,0.161609,-0.221464,8.37851,0.0407087,-0.00186411,-0.0396963,0.0642716,0.179567,-0.302183
92,0.135272,-0.503979,8.43477,-0.0271726,-0.0256459,-0.031436,0.0640076,0.178906,-0.303117
93,0.0825999,-0.657208,7.88889,0.0600272,-0.0353051,-0.0109184,0.0645839,0.178258,-0.303716
94,0.095768,-0.823605,8.30309,0.0279185,-0.0643495,0.0254537,0.0661506,0.176783,-0.303481
95,0.179565,-0.816422,8.85136,-0.00712131,-0.023714,0.052433,0.0658174,0.175296,-0.302293
96,0.183156,-0.871489,8.70771,-0.0463579,0.00606315,0.0719514,0.0650957,0.175287,-0.300727
97,0.192733,-0.952892,8.6275,-0.0653434,-0.00632736,0.100463,0.0630721,0.17541,-0.298306
