id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z
987,0.347159,0.71826,8.82861,-0.0205582,-0.0092039,-0.00490426,-0.0588714,-0.0847237,-0.0432079
988,0.135272,0.725443,8.66102,-0.0571968,-0.0113356,-0.000241178,-0.0600937,-0.084814,-0.0432487
989,0.153229,0.699107,8.58081,-0.038611,-0.0295883,-0.0103001,-0.0617212,-0.085402,-0.04339
990,0.222661,0.746991,8.80228,-0.0107657,-0.0101365,-0.00623658,-0.0621125,-0.0859449,-0.0436886
991,0.14844,0.708683,8.63109,-0.0453392,-0.013001,0.00655361,-0.0631295,-0.086138,-0.0435744
992,0.116119,0.713472,8.43597,-0.00930017,-0.0416457,-0.00263933,-0.0641693,-0.08692,-0.043439
993,0.238223,0.702698,8.77475,0.0107511,-0.0497062,0.000025291,-0.0636871,-0.0882789,-0.0435502
994,0.179565,0.68115,8.77475,-0.00363784,-0.0403134,0.00502146,-0.0638714,-0.0894455,-0.0434579
995,0.305261,0.766144,8.9184,0.027938,-0.0237927,0.00975116,-0.0633639,-0.0902491,-0.0432074
996,0.252588,0.932541,8.72447,0.0358652,-0.00747189,0.0139479,-0.062351,-0.0905436,-0.0427306
997,0.248997,1.16957,8.70651,-0.00576954,-0.0218609,-0.00104056,-0.0620448,-0.0910273,-0.0425214
998,0.264559,1.15999,8.72327,-0.0287519,-0.0275898,-0.00863474,-0.0625994,-0.091644,-0.0426106
999,0.349553,1.3204,8.65623,-0.0669227,-0.0531036,-0.022624,-0.0639834,-0.0928984,-0.0430801
1000,0.430956,1.35512,8.62391,-0.0885061,-0.064295,-0.0210919,-0.0661769,-0.094606,-0.043739
1001,0.503979,1.35871,8.63229,-0.120215,-0.0740875,-0.0144303,-0.0689789,-0.0965606,-0.0441778
1002,0.683544,1.25217,8.49103,-0.095101,-0.084213,0.00149084,-0.0722571,-0.0988563,-0.0444216
1003,0.787692,1.17076,8.81904,-0.046405,-0.0600316,0.0388622,-0.0739799,-0.100794,-0.0438009
1004,0.45011,1.43413,8.79869,-0.0444066,-0.0421786,0.0386623,-0.0751311,-0.102149,-0.0426105
1005,0.325611,1.29407,8.74721,-0.0510015,-0.0382483,0.0286034,-0.0772773,-0.103508,-0.0413143
1006,0.442927,1.47483,8.62391,0.00568835,-0.0124681,0.0183446,-0.0777905,-0.104201,-0.0406563
1007,0.547075,1.60052,8.21809,-0.00370445,-0.00760512,0.00189053,-0.0775772,-0.104297,-0.040425
1008,0.752976,1.44011,8.10796,0.00442264,-0.0238593,-0.00603673,-0.0778508,-0.104637,-0.0405512
1009,0.79248,1.50954,8.15824,0.0942871,-0.0393808,-0.00497088,-0.076265,-0.105552,-0.04075
1010,0.847547,1.64601,8.47547,0.0945535,-0.0258578,0.0139479,-0.0732577,-0.106352,-0.0405067
1011,0.678756,1.49997,8.56884,0.064843,0.00225399,0.0272045,-0.0712881,-0.106638,-0.0398062
1012,0.530315,1.42575,8.55807,0.102747,0.0109806,0.0375299,-0.0689314,-0.106388,-0.0389752
1013,0.51595,1.73819,8.5461,0.0838284,0.00205414,0.0378629,-0.0662901,-0.106266,-0.0379622
1014,0.494402,1.57419,8.84418,0.0298698,0.0161766,0.0436585,-0.0648468,-0.10607,-0.036797
1015,0.565031,1.57179,8.77594,0.0130827,0.034829,0.0520521,-0.0646052,-0.10526,-0.0353999
1016,0.521936,1.64122,9.02015,0.0136156,0.0389592,0.0506531,-0.0641103,-0.104293,-0.0341484
1017,0.769736,1.46884,9.30865,-0.0244219,0.0651391,0.0715704,-0.0642332,-0.102687,-0.0323497
1018,0.737414,1.47004,8.98783,-0.0172274,0.0695357,0.0867588,-0.065142,-0.100781,-0.0300921
1019,0.664391,1.20548,9.00579,0.0349992,0.0547471,0.0914219,-0.0647747,-0.099283,-0.0277084
1020,0.675165,1.02472,9.19852,0.0512534,0.0658052,0.108009,-0.0633911,-0.09771,-0.0249755
1021,0.584185,0.881066,8.8358,0.0924218,0.0649392,0.129526,-0.0615699,-0.0957389,-0.0217849
1022,0.351948,0.752976,8.85376,0.122799,0.0231047,0.141317,-0.0583289,-0.0945522,-0.0179982
1023,0.264559,0.829591,9.05367,0.109742,-0.0157322,0.135921,-0.0549054,-0.0944482,-0.0141651
1024,0.262165,0.824802,8.82622,0.0973514,-0.0584328,0.139119,-0.0522192,-0.0955796,-0.0104702
1025,0.166397,0.812831,8.96748,0.0693062,-0.100267,0.14558,-0.0499738,-0.0979072,-0.00657151
1026,0.0526724,0.676362,9.41759,0.0217427,-0.0918739,0.129193,-0.0487302,-0.100787,-0.00278793
1027,0.317232,0.47046,9.3697,0.0168132,-0.00374142,0.150643,-0.048582,-0.102139,0.00112257
1028,0.169988,0.835576,8.52934,0.0585811,0.0768634,0.159903,-0.0474572,-0.101039,0.00521091
1029,-0.0694318,0.967257,8.39048,0.048722,0.107174,0.150976,-0.0458513,-0.0981827,0.00953932
1030,-0.134075,0.933738,8.60595,0.0218759,0.0839913,0.119001,-0.0447663,-0.0955803,0.0131046
1031,-0.137667,0.895431,8.59997,-0.0446064,0.0212394,0.0657749,-0.0453029,-0.0942183,0.0156302
1032,0.122104,0.934935,8.503,-0.0897718,-0.00420773,0.0153469,-0.0473009,-0.0942317,0.0166461
1033,0.386663,1.00556,8.3378,-0.116152,0.0169094,-0.00783536,-0.0502008,-0.0940289,0.0166684
1034,0.519542,0.757765,8.34618,-0.0929693,0.0462869,-0.0220245,-0.0530856,-0.0932456,0.0161882
1035,0.373495,0.622492,8.59997,-0.0673223,0.095649,-0.0146968,-0.0551835,-0.0911323,0.0156619
1036,0.186748,0.746991,8.30069,-0.0549319,0.0993129,-0.0106332,-0.0569101,-0.088375,0.0153221
1037,0.0933738,0.907402,7.68778,-0.0339479,0.0579446,-0.013098,-0.0582837,-0.0862524,0.0151105
1038,-0.0023942,1.10851,7.68778,0.0134158,-0.013867,-0.0294188,-0.0585113,-0.0856373,0.0145074
1039,0.0766144,1.26534,7.94875,0.0692396,-0.067759,-0.0450069,-0.0571897,-0.087016,0.0133993
1040,0.23104,1.43413,8.33661,0.0678407,-0.0846794,-0.0541998,-0.055205,-0.0891351,0.0120378
1041,0.172382,1.5682,8.71609,0.0639104,-0.0728218,-0.0694548,-0.0532708,-0.0912853,0.0102973
1042,0.23942,1.88783,8.77115,0.0519196,-0.0339183,-0.0797136,-0.0516095,-0.0926208,0.00816834
1043,0.0466869,1.79086,8.81186,0.0404617,-0.0140668,-0.083111,-0.0501252,-0.0932351,0.00596875
1044,0.059855,1.5706,9.12071,-0.000573516,0.0196407,-0.0821117,-0.0496075,-0.0931507,0.00389987
1045,0.116119,1.27611,9.10036,-0.0203584,0.0628741,-0.107426,-0.0502376,-0.0918265,0.00133605
1046,0.290895,0.964863,8.69454,0.0401952,0.0957157,-0.112622,-0.0497404,-0.0893839,-0.00181906
1047,0.389058,0.859518,9.09078,0.0200773,0.101911,-0.117152,-0.0485338,-0.0866562,-0.00488607
1048,0.56144,0.280121,9.58518,0.0212764,0.123628,-0.105027,-0.048479,-0.0835193,-0.00816062
1049,0.739808,0.600944,9.27513,0.104546,0.106574,-0.110956,-0.0462238,-0.0801622,-0.0111179
1050,0.436942,0.243011,9.51096,0.0292703,0.0624745,-0.113421,-0.0440558,-0.0779053,-0.0141292
1051,0.357933,-0.0538695,9.30386,-0.0546654,0.00731677,-0.113754,-0.0452843,-0.0771041,-0.0171746
1052,0.621295,0.0610521,8.67419,0.0393958,-0.0361166,-0.0980329,-0.0453881,-0.0777109,-0.0201674
1053,0.609324,0.519542,8.60715,0.0635773,-0.048707,-0.0811791,-0.0433512,-0.0788487,-0.0225155
1054,0.701501,0.480037,8.53054,-0.0157619,-0.0696242,-0.0744509,-0.0429548,-0.080398,-0.0245938
1055,0.71826,0.241814,8.98544,-0.0240222,-0.11379,-0.0797136,-0.0436502,-0.083054,-0.0267916
1056,0.730231,0.234632,9.37449,-0.0731845,-0.122983,-0.0931033,-0.0446056,-0.0862819,-0.0291199
1057,0.767341,-0.0909796,9.63786,-0.210213,-0.0630959,-0.0769824,-0.0487494,-0.0889461,-0.0315671
1058,0.839167,-0.171185,9.0812,-0.254112,0.0543474,-0.0372794,-0.0559255,-0.0887434,-0.0330151
1059,0.626083,0.172382,8.05648,-0.163249,0.105175,-0.0204257,-0.0615824,-0.0861158,-0.0336935
1060,0.363919,0.432153,7.80988,-0.102895,0.077796,-0.0245559,-0.0645145,-0.0835588,-0.034311
1061,0.253785,0.633266,7.74285,-0.0908376,0.0179753,-0.0402105,-0.0673486,-0.0822919,-0.0352397
1062,0.356736,0.496797,8.01339,-0.0338147,-0.0206618,-0.0328162,-0.0690498,-0.0825114,-0.0362238
1063,0.292092,0.84635,8.10796,-0.0112986,-0.0577001,-0.033549,-0.0693301,-0.0835942,-0.0369976
1064,0.519542,0.982819,8.08761,-0.016095,-0.082148,-0.0444073,-0.0699829,-0.0856951,-0.03809
1065,0.593762,0.737414,8.42998,0.0214096,-0.0417123,-0.0146301,-0.0697471,-0.0874795,-0.0389235
1066,0.529118,0.871489,8.82263,0.000558943,0.0250365,0.0281371,-0.0692438,-0.0874978,-0.0385824
1067,0.347159,1.12168,8.20971,0.0438591,0.0406912,0.0372634,-0.0689265,-0.0863528,-0.0375333
1068,0.420182,1.31442,8.22408,0.0958192,0.0362946,0.0457902,-0.066505,-0.0853877,-0.0364681
1069,0.47046,1.07978,8.51378,0.059647,0.0558129,0.0713706,-0.0645418,-0.0840743,-0.0347709
1070,0.55306,0.864306,8.53532,0.0870926,0.0790617,0.0963514,-0.0627439,-0.0821393,-0.0323404
1071,0.671573,0.908599,8.76278,0.152842,0.104442,0.10308,-0.0591669,-0.0795445,-0.0296853
1072,0.691924,1.18154,8.80587,0.125063,0.1161,0.100548,-0.0551164,-0.0763218,-0.0267919
1073,0.392649,1.07859,9.01416,0.0932212,0.10351,0.0872917,-0.0523014,-0.0731476,-0.0242102
1074,0.262165,1.00796,9.30147,0.0927549,0.0670709,0.0573813,-0.0498422,-0.0709895,-0.022301
1075,-0.0167594,0.811634,9.96107,0.0652427,0.0562792,0.0512527,-0.0475214,-0.0695036,-0.0208842
1076,-0.296881,0.849941,10.0066,-0.0265536,0.0745985,0.0373966,-0.0470877,-0.0676152,-0.0196667
1077,-0.0945709,0.153229,10.0688,-0.125011,0.0681368,0.0278706,-0.0498122,-0.0657531,-0.01885
1078,0.0730231,-0.351948,9.47265,-0.0691876,0.0705349,0.0515191,-0.0526761,-0.0638323,-0.0177783
1079,0.14844,0.166397,8.40364,-0.0334816,0.043156,0.0783652,-0.0537037,-0.0620764,-0.01579
1080,-0.0802057,0.474052,7.49624,-0.00223891,-0.0296549,0.0817626,-0.054296,-0.0619473,-0.0135573
1081,-0.271742,0.234632,8.26598,0.0727036,-0.0970699,0.0811631,-0.053041,-0.0640377,-0.0113713
1082,-0.179565,0.300472,9.13507,0.0616455,-0.11872,0.0776325,-0.0508343,-0.0672106,-0.00905458
1083,-0.225055,0.456095,9.45589,-0.0408094,-0.100467,0.0677067,-0.0506395,-0.0703667,-0.00696741
1084,-0.213084,0.253785,9.27872,-0.123146,-0.0505722,0.0597129,-0.0532926,-0.0723751,-0.00519003
1085,-0.140061,0.427365,8.6287,-0.16145,-0.0424451,0.0357312,-0.0574468,-0.0735165,-0.00387745
1086,-0.0849941,0.493205,8.37132,-0.139867,-0.0353172,0.00548777,-0.0614573,-0.0745861,-0.00343288
1087,0.0658405,0.241814,8.21331,-0.104294,-0.013867,-0.00530396,-0.0648475,-0.0752657,-0.00359827
1088,0.325611,0.296881,8.17021,-0.0352802,0.0170426,0.00035837,-0.0665361,-0.0752768,-0.00375933
1089,0.208295,0.399832,8.28274,0.031735,0.0507502,0.00515469,-0.0664795,-0.0742594,-0.00358393
1090,0.113725,0.403423,8.2145,0.0830957,0.0631406,0.000758063,-0.0646462,-0.0725352,-0.00356829
1091,0.0694318,0.709881,8.00142,0.0782327,0.0349622,-0.00850151,-0.0623038,-0.071123,-0.00371677
1092,-0.189142,0.888248,7.9691,0.0597802,-0.00873759,-0.042209,-0.0605671,-0.0708879,-0.00443493
1093,-0.143652,0.906205,8.29111,0.0489885,-0.0514382,-0.0653912,-0.0590329,-0.0718461,-0.00609319
1094,-0.122104,0.796072,8.53413,0.00995174,-0.0736212,-0.0738514,-0.0581424,-0.0735773,-0.008063
1095,-0.17358,0.845153,8.62989,-0.0561309,-0.0912743,-0.0832442,-0.0588813,-0.0756561,-0.0101304
1096,0.0131681,0.688333,8.85016,-0.0835099,-0.0861449,-0.0818453,-0.0611798,-0.0781534,-0.0125055
1097,0.047884,0.544681,9.00698,-0.0537994,-0.0577667,-0.0723858,-0.0631127,-0.0799994,-0.0145733
1098,-0.0311246,0.587776,9.05247,-0.0411424,-0.0291886,-0.0679226,-0.0644024,-0.0810258,-0.0164074
