id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z
3946,-0.105345,0.00359131,8.70651,0.00398502,0.00334577,0.00665554,0.00727525,0.0184122,0.0179737
3947,-0.12809,0.047884,8.67898,0.00231964,0.00347901,0.00805447,0.00732585,0.0184674,0.0181508
3948,-0.0167594,0.137667,8.65503,-0.000011906,0.00421178,0.0153156,0.00734521,0.0184964,0.0185568
3949,-0.144849,0.328005,8.69574,0.00378518,-0.000717778,0.0172474,0.00742181,0.0185934,0.0189913
3950,-0.0263362,0.605733,8.65982,-0.00134423,0.00361224,0.0191793,0.00762711,0.0186202,0.0195741
3951,-0.152032,0.415394,8.64186,0.00471778,-0.00105085,0.034301,0.0076824,0.018693,0.0203434
3952,-0.185551,0.53271,8.73285,-0.00960455,0.000148226,0.0358998,0.00756579,0.0187488,0.0212824
3953,-0.222661,0.294487,8.57363,-0.00634039,-0.000517931,0.0287719,0.00769895,0.0189643,0.0221036
3954,-0.251391,0.45011,8.59758,-0.00580747,0.00321254,0.0140499,0.00786074,0.0189829,0.0227009
3955,-0.371101,0.269348,8.61553,0.000920706,-0.00704626,-0.0149279,0.00769047,0.0189028,0.0225826
3956,-0.26815,0.497994,8.94713,0.00112054,0.0110066,-0.0231216,0.00769014,0.019109,0.0219539
3957,-0.201113,0.778115,8.28034,0.0000546873,0.0292592,-0.00313696,0.00791021,0.0192788,0.0217006
3958,-0.217872,0.683544,8.88009,-0.0786849,-0.0448839,0.0159817,0.00823012,0.0195905,0.0222103
3959,-0.154426,0.527921,8.52934,-0.0355846,0.00374546,-0.000672174,0.00781077,0.0194834,0.0225884
3960,-0.185551,0.486023,8.85615,-0.0227944,-0.00804549,-0.00127171,0.00823122,0.0197224,0.0227685
3961,-0.0993593,0.373495,8.81664,0.000654243,0.00121407,-0.00626789,0.00799654,0.0195833,0.0227129
3962,0.0634463,0.23942,8.54011,0.0110463,0.00914133,-0.0115305,0.00747893,0.0196486,0.0223419
3963,-0.0490811,0.403423,8.43118,0.0179743,0.0142707,-0.0144616,0.00739481,0.0196035,0.0219337
3964,-0.265756,1.06901,9.11353,-0.0400479,-0.010377,-0.0269187,0.00744101,0.0198508,0.0213056
3965,-0.12809,1.13725,8.57722,-0.00700655,-0.00964427,-0.0173261,0.00749834,0.0206215,0.0205255
3966,0.00598551,1.29407,8.78193,-0.0152669,0.00494455,-0.0127296,0.00810658,0.020784,0.0201702
3967,-0.245406,0.905008,8.65743,-0.000811301,0.0327232,-0.0289838,0.00969146,0.0221805,0.019803
3968,0.152032,0.56144,8.36294,0.0142438,0.00307932,-0.0384432,0.0100703,0.0214904,0.0191274
3969,-0.0311246,0.174777,9.55406,0.027034,0.00301269,-0.046104,0.00879602,0.0206909,0.0178946
3970,0.40462,0.241814,8.31147,0.0399574,-0.00957765,-0.0664884,0.0077885,0.0198022,0.0164078
3971,0.417788,0.513556,8.03374,0.0977132,0.00827533,-0.0797449,0.00717788,0.0188814,0.0143235
3972,0.439336,1.12288,8.89685,0.0187071,0.000747763,-0.0758812,0.00755461,0.0184137,0.0120719
3973,0.432153,0.563834,8.0074,0.0336956,0.0160694,-0.031715,0.0074541,0.0185286,0.0109071
3974,0.52433,1.09056,7.19577,0.0303648,0.0177347,0.0398301,0.00821949,0.017882,0.0112722
3975,0.852335,-0.175974,8.12951,0.0256351,-0.00584718,0.115039,0.00659437,0.0174889,0.0135927
3976,0.451307,0.87508,10.0317,-0.0429124,-0.0105769,0.179923,0.00729891,0.017568,0.0180059
3977,0.174777,1.67833,8.72926,-0.0193304,0.0297256,0.170596,0.00852967,0.0173107,0.023262
3978,0.0933739,0.217872,9.52892,0.0217048,-0.00544748,0.154675,0.00795192,0.016231,0.0275752
3979,-0.603338,-0.114922,8.43238,0.0637392,0.00787564,0.125165,0.006261,0.0169237,0.0312854
3980,-1.6939,1.10732,5.20619,0.2025,-0.202496,0.0722719,0.00790891,0.0150219,0.0341442
3981,-1.97761,-0.52433,14.6693,-0.0592998,-0.0158395,0.0488898,0.00297773,0.0184741,0.0353845
